token,exchange,symbol
865901,BSE_FO,APLAPOLLO
869334,BSE_FO,APLAPOLLO
866898,BSE_FO,APLAPOLLO
867432,BSE_FO,APLAPOLLO
870890,BSE_FO,APLAPOLLO
867886,BSE_FO,APLAPOLLO
871297,BSE_FO,APLAPOLLO
868890,BSE_FO,APLAPOLLO
865889,BSE_FO,APLAPOLLO
869316,BSE_FO,APLAPOLLO
866303,BSE_FO,APLAPOLLO
869751,BSE_FO,APLAPOLLO
867291,BSE_FO,APLAPOLLO
870737,BSE_FO,APLAPOLLO
867715,BSE_FO,APLAPOLLO
867355,BSE_FO,APLAPOLLO
870799,BSE_FO,APLAPOLLO
865536,BSE_FO,APLAPOLLO
868929,BSE_FO,APLAPOLLO
950210,BSE_EQ,1008IOT26A
865942,BSE_FO,APLAPOLLO
869381,BSE_FO,APLAPOLLO
866350,BSE_FO,APLAPOLLO
870381,BSE_FO,APLAPOLLO
867341,BSE_FO,APLAPOLLO
870787,BSE_FO,APLAPOLLO
867778,BSE_FO,APLAPOLLO
871195,BSE_FO,APLAPOLLO
868776,BSE_FO,APLAPOLLO
865774,BSE_FO,APLAPOLLO
869197,BSE_FO,APLAPOLLO
860598,BSE_FO,APLAPOLLO
860295,BSE_FO,APLAPOLLO
860063,BSE_FO,APLAPOLLO
859822,BSE_FO,APLAPOLLO
860099,BSE_FO,APLAPOLLO
950211,BSE_EQ,1008IOT26B
950212,BSE_EQ,1008IOT26C
950213,BSE_EQ,1008IOT27A
950214,BSE_EQ,1008IOT27B
950215,BSE_EQ,1008IOT27C
950216,BSE_EQ,1008IOT28A
950217,BSE_EQ,1008IOT28B
950218,BSE_EQ,1008IOT28C
950219,BSE_EQ,1008IOT28D
951096,BSE_EQ,890IBL25A
859858,BSE_FO,APLAPOLLO
860131,BSE_FO,APLAPOLLO
860221,BSE_FO,APLAPOLLO
858234,BSE_FO,APLAPOLLO
858247,BSE_FO,APLAPOLLO
856439,BSE_FO,APLAPOLLO
849521,BSE_FO,KALYANKJIL
854391,BSE_FO,KALYANKJIL
852859,BSE_FO,KALYANKJIL
851413,BSE_FO,KALYANKJIL
849941,BSE_FO,KALYANKJIL
857922,BSE_FO,KALYANKJIL
858948,BSE_FO,KALYANKJIL
872768,BSE_FO,KALYANKJIL
835121,BSE_FO,APLAPOLLO
871596,BSE_FO,APLAPOLLO
853074,BSE_FO,APLAPOLLO
836862,BSE_FO,ABB
866832,BSE_FO,ABB
854729,BSE_FO,ABB
834935,BSE_FO,ABCAPITAL
871441,BSE_FO,ABCAPITAL
852899,BSE_FO,ABCAPITAL
836941,BSE_FO,ABFRL
835684,BSE_FO,ADANIENT
865742,BSE_FO,ADANIENT
853597,BSE_FO,ADANIENT
848722,BSE_FO,AMBER
868851,BSE_FO,AMBER
850356,BSE_FO,AMBER
837766,BSE_FO,ADANIENSOL
867718,BSE_FO,ADANIENSOL
849232,BSE_FO,ADANIENSOL
833389,BSE_FO,ADANIGREEN
870047,BSE_FO,ADANIGREEN
851529,BSE_FO,ADANIGREEN
832602,BSE_FO,APOLLOHOSP
869339,BSE_FO,APOLLOHOSP
851443,BSE_FO,UPL
850824,BSE_FO,APOLLOHOSP
833737,BSE_FO,ALKEM
870379,BSE_FO,ALKEM
851856,BSE_FO,ALKEM
835059,BSE_FO,ASHOKLEY
871544,BSE_FO,ASHOKLEY
853003,BSE_FO,ASHOKLEY
832423,BSE_FO,AMBUJACEM
869170,BSE_FO,AMBUJACEM
850663,BSE_FO,AMBUJACEM
833277,BSE_FO,ANGELONE
869952,BSE_FO,ANGELONE
851416,BSE_FO,ANGELONE
834435,BSE_FO,ASIANPAINT
871010,BSE_FO,ASIANPAINT
852458,BSE_FO,ASIANPAINT
834530,BSE_FO,ASTRAL
871102,BSE_FO,ASTRAL
852531,BSE_FO,ASTRAL
836467,BSE_FO,ATGL
832889,BSE_FO,AUROPHARMA
869600,BSE_FO,AUROPHARMA
851064,BSE_FO,AUROPHARMA
837676,BSE_FO,AUBANK
867600,BSE_FO,AUBANK
849140,BSE_FO,AUBANK
835564,BSE_FO,DMART
865633,BSE_FO,DMART
853499,BSE_FO,DMART
831646,BSE_FO,AXISBANK
868419,BSE_FO,AXISBANK
849925,BSE_FO,AXISBANK
836891,BSE_FO,BAJFINANCE
866873,BSE_FO,BAJFINANCE
854768,BSE_FO,BAJFINANCE
835972,BSE_FO,BAJAJFINSV
865985,BSE_FO,BAJAJFINSV
853849,BSE_FO,BAJAJFINSV
837772,BSE_FO,BAJAJ-AUTO
867723,BSE_FO,BAJAJ-AUTO
849234,BSE_FO,BAJAJ-AUTO
832692,BSE_FO,BANDHANBNK
869422,BSE_FO,BANDHANBNK
850897,BSE_FO,BANDHANBNK
837579,BSE_FO,BEL
867507,BSE_FO,BEL
849040,BSE_FO,BEL
836190,BSE_FO,BDL
866215,BSE_FO,BDL
854066,BSE_FO,BDL
837303,BSE_FO,BHEL
867255,BSE_FO,BHEL
855145,BSE_FO,BHEL
838429,BSE_FO,BHARATFORG
868342,BSE_FO,BHARATFORG
849831,BSE_FO,BHARATFORG
838477,BSE_FO,BHARTIARTL
868388,BSE_FO,BHARTIARTL
849880,BSE_FO,BHARTIARTL
835081,BSE_FO,BIOCON
871565,BSE_FO,BIOCON
853031,BSE_FO,BIOCON
842507,BSE_FO,BANKEX
826846,BSE_FO,BANKEX
861473,BSE_FO,BANKEX
835452,BSE_FO,BANKBARODA
865549,BSE_FO,BANKBARODA
853391,BSE_FO,BANKBARODA
833460,BSE_FO,BANKINDIA
870106,BSE_FO,BANKINDIA
851591,BSE_FO,BANKINDIA
837059,BSE_FO,BOSCHLTD
867030,BSE_FO,BOSCHLTD
835856,BSE_FO,BPCL
865888,BSE_FO,BPCL
853747,BSE_FO,BPCL
834421,BSE_FO,BRITANNIA
870999,BSE_FO,BRITANNIA
852445,BSE_FO,BRITANNIA
827825,BSE_FO,BSE
844536,BSE_FO,BSE
862529,BSE_FO,BSE
842364,BSE_FO,SENSEX
826719,BSE_FO,SENSEX
861384,BSE_FO,SENSEX
834096,BSE_FO,BLUESTARCO
870719,BSE_FO,BLUESTARCO
852169,BSE_FO,BLUESTARCO
835482,BSE_FO,ZYDUSLIFE
865575,BSE_FO,ZYDUSLIFE
853422,BSE_FO,ZYDUSLIFE
831706,BSE_FO,CAMS
868474,BSE_FO,CAMS
849988,BSE_FO,CAMS
833589,BSE_FO,CANBK
870240,BSE_FO,CANBK
851708,BSE_FO,CANBK
836067,BSE_FO,CONCOR
866091,BSE_FO,CONCOR
853962,BSE_FO,CONCOR
827882,BSE_FO,CDSL
844585,BSE_FO,CDSL
862581,BSE_FO,CDSL
833565,BSE_FO,CESC
833601,BSE_FO,CROMPTON
870251,BSE_FO,CROMPTON
851724,BSE_FO,CROMPTON
835349,BSE_FO,CGPOWER
871845,BSE_FO,CGPOWER
853307,BSE_FO,CGPOWER
835481,BSE_FO,CHOLAFIN
865574,BSE_FO,CHOLAFIN
853421,BSE_FO,CHOLAFIN
833823,BSE_FO,CIPLA
870451,BSE_FO,CIPLA
851927,BSE_FO,CIPLA
832101,BSE_FO,COALINDIA
868841,BSE_FO,COALINDIA
850346,BSE_FO,COALINDIA
836457,BSE_FO,COLPAL
866451,BSE_FO,COLPAL
854339,BSE_FO,COLPAL
835070,BSE_FO,CUMMINSIND
871554,BSE_FO,CUMMINSIND
853020,BSE_FO,CUMMINSIND
836887,BSE_FO,CYIENT
866865,BSE_FO,CYIENT
854764,BSE_FO,CYIENT
